datetime,dew_point_temperature_htgl,geopotential_height_0deg,geopotential_height_ceil,geopotential_height_htfl,geopotential_height_sfc,high_level_cloud_cover,low_level_cloud_cover,mean_sea_level_pressure_eta_model,mid_level_cloud_cover,parcel_lifted_index_to_500_h_pa,precipitable_water,pressure,probability_of_precipitation,relative_humidity_htgl,relative_humidity_hybl,specific_humidity_htgl,specific_humidity_hybl,specific_humidity_spdy,surface_lifted_index,surface_roughness,temperature_htgl,temperature_sfc,temperature_sea_temperature,total_cloud_cover,total_column_integrated_cloud_water,water_temperature,u_component_of_wind_htgl,u_component_of_wind_spdy,v_component_of_wind_htgl,v_component_of_wind_spdy,wind_angle,wind_speed
2026-02-10T01:00:00Z,21.506360260123667,NA,NA,NA,4.821249008178711,0,0,101431.0078125,0.31554099917411804,NA,58.31593704223633,101374.4609375,NA,80.28306643293719,82.22568427703087,0.016141626983880997,0.016117088496685028,0.016117088496685028,NA,NA,298.2900390625,298.8172912597656,300.3252258300781,1,298.6035619698933,0,-1.7295327186584473,-2.0157477855682373,-1.7165489196777344,-2.0843470096588135,45.21587224031214,2.436764990424164
2026-02-10T02:00:00Z,22.154712795273085,NA,NA,NA,4.821249008178711,0,0,101425.5703125,0.31945177912712097,NA,56.80058288574219,101368.9921875,NA,85.68916297731494,88.00256578531,0.016812652349472046,0.016794653609395027,0.016794653609395027,NA,NA,297.8623046875,298.4855651855469,300.3252258300781,0.9722568988800049,252.60607465239147,0,-2.2500386238098145,-2.634091377258301,-1.8407024145126343,-2.318488121032715,50.71422787114801,2.9070361517237115
2026-02-10T03:00:00Z,21.97599488900715,NA,NA,NA,4.821249008178711,0,0,101390.484375,1,NA,56.051570892333984,101333.9296875,NA,85.26941072907664,87.36454195640218,0.016631366685032845,0.016614463180303574,0.016614463180303574,NA,NA,297.76214599609375,298.2811279296875,300.3252258300781,1,39.995960463265526,0,-2.0996382236480713,-2.548222064971924,-0.7465692758560181,-0.9698735475540161,70.42611734061757,2.228417903773035
2026-02-10T04:00:00Z,21.423944250760716,NA,NA,NA,4.821249008178711,0,0,101365.5625,0,NA,54.9600944519043,101308.984375,NA,83.47772131111681,85.49998736729947,0.016068849712610245,0.016047904267907143,0.016047904267907143,NA,NA,297.5528564453125,298.0826416015625,300.3252258300781,0.987777829170227,359.89540389904147,0,-1.9479857683181763,-2.345003128051758,-0.5997579097747803,-0.7280105948448181,72.88712387066505,2.038224252605088
2026-02-10T05:00:00Z,21.546302514983548,NA,NA,NA,4.821249008178711,0,0,101303.6875,0.3942355215549469,NA,54.8996467590332,101247.15625,NA,84.26847182637597,86.23195373276438,0.016203075647354126,0.01618519425392151,0.01618519425392151,NA,NA,297.5206604003906,298.00408935546875,300.3252258300781,1,131.53435080807566,0,-1.4017587900161743,-1.6263171434402466,-0.9691469073295593,-1.1269752979278564,55.340823403225045,1.7041635582813226
2026-02-10T06:00:00Z,21.635893325672477,NA,NA,NA,4.821249008178711,0,0,101267.703125,0,NA,54.1366081237793,101211.1796875,NA,85.31162806782874,87.29230199918389,0.01630047895014286,0.016283661127090454,0.016283661127090454,NA,NA,297.4070129394531,297.90533447265625,300.3252258300781,0.9147772789001465,0.2057932786075531,0,-0.6939504742622375,-0.8867813348770142,-1.1977235078811646,-1.3276758193969727,30.087625527281887,1.3842358404765953
2026-02-10T07:00:00Z,21.367429882927432,NA,NA,NA,4.821249008178711,0,0,101291.34375,0,NA,53.38587951660156,101234.7890625,NA,84.06910225241327,85.83972932039744,0.016023868694901466,0.0160050205886364,0.0160050205886364,NA,NA,297.3774108886719,297.8106689453125,300.3252258300781,0.19212457537651062,4.578925473425439,0,-0.41344547271728516,-0.5648112297058105,-0.9519767165184021,-1.0118703842163086,23.47540672458041,1.0378809313710207
2026-02-10T08:00:00Z,21.12000194275604,NA,NA,NA,4.821249008178711,0,0,101283.7890625,1,NA,53.651771545410156,101227.2578125,NA,82.45059577373716,84.01197214781489,0.01577739603817463,0.015759842470288277,0.015759842470288277,NA,NA,297.4482421875,297.846435546875,300.3252258300781,1,700.5037222715498,0,-0.007708927616477013,0.047227345407009125,0.5617332458496094,0.6091088652610779,179.21375262171844,0.5617861399658537
2026-02-10T09:00:00Z,21.23570183644216,NA,NA,NA,4.821249008178711,0,0,101346.8203125,0.09669190645217896,NA,53.939090728759766,101290.2734375,NA,81.79621127737364,83.07700466686356,0.015882646664977074,0.01586381532251835,0.01586381532251835,NA,NA,297.6997375488281,297.9115905761719,300.3252258300781,0.9629955887794495,286.59365385873076,0,0.05540523678064346,0.32668066024780273,0.4881412088871002,0.7150706052780151,186.47550028795996,0.4912754625222786
2026-02-10T10:00:00Z,21.064652862315015,NA,NA,NA,4.821249008178711,0,0,101364.953125,0.8104785680770874,NA,54.36106872558594,101308.421875,NA,79.99167572903691,81.07506368905207,0.01570954918861389,0.015685822814702988,0.015685822814702988,NA,NA,297.8969421386719,298.01446533203125,300.3252258300781,1,298.34216419459943,0,0.4499804973602295,0.7025368809700012,0.26364243030548096,0.3972005546092987,239.63407085698077,0.5215263934471005
