Step,RMSE,MAE,Bias,Accuracy,CSI_ThreatScore,F1_Score,HeidkeSkillScore
1. Global (GFS),7274.713266339899,6501.430621758249,-6501.430621758249,0.2857142857142857,0.2857142857142857,0.4444444444444444,0
2. Regional (WRF),11320.343194917235,9105.22999226115,7572.005876848459,0.7241379310344828,0,0,-0.09682299546142208
3. Correção (WRF MOS Lagged),1013.197885564368,666.8877949854115,-109.65548233843118,0.8689655172413793,0.40625,0.5777777777777777,0.5160723695766731
