datetime,dew_point_temperature_htgl,geopotential_height_0deg,geopotential_height_ceil,geopotential_height_htfl,geopotential_height_sfc,high_level_cloud_cover,low_level_cloud_cover,mean_sea_level_pressure_eta_model,mid_level_cloud_cover,parcel_lifted_index_to_500_h_pa,precipitable_water,pressure,probability_of_precipitation,relative_humidity_htgl,relative_humidity_hybl,specific_humidity_htgl,specific_humidity_hybl,specific_humidity_spdy,surface_lifted_index,surface_roughness,temperature_htgl,temperature_sfc,temperature_sea_temperature,total_cloud_cover,total_column_integrated_cloud_water,water_temperature,u_component_of_wind_htgl,u_component_of_wind_spdy,v_component_of_wind_htgl,v_component_of_wind_spdy,wind_angle,wind_speed,visibility
2026-01-15T00:00:00Z,21.608152049393507,NA,NA,NA,13.374430656433104,0,0,0,0,NA,0,101429.578125,NA,88.91834324928944,86.88499687706819,0.01623614691197872,0.01698959246277809,0.01698959246277809,NA,NA,296.690673828125,293.9047546386719,293.9047546386719,0,0,0,2.0721254348754883,2.0721254348754883,-1.122633934020996,-1.122633934020996,298.44790219309516,2.356694882175754,10000
2026-01-15T01:00:00Z,21.933930777646772,NA,NA,NA,13.374430656433104,0,0,101502.640625,0,NA,51.75532913208008,101345.640625,NA,87.90242348536339,87.09615379221664,0.01658559963107109,0.01658464968204498,0.01658464968204498,NA,NA,297.2122802734375,297.0719299316406,293.9047546386719,0,0.8986144626186601,0,-0.03564943373203277,-0.04404755309224129,-0.764824628829956,-1.2445725202560425,2.668696474636647,0.7656550104259062,10000
2026-01-15T02:00:00Z,21.78570848509417,NA,NA,NA,13.374430656433104,0,0,101511.640625,0.9093784093856812,NA,51.1214714050293,101354.5703125,NA,89.06880324276347,87.34709148729851,0.01643062755465507,0.01643083244562149,0.01643083244562149,NA,NA,296.8427734375,296.60211181640625,293.9047546386719,1,10.259258365922408,0,-0.5824073553085327,-0.8293259739875793,-0.48838281631469727,-0.6336277723312378,50.01818877039523,0.7600763795757337,10000
2026-01-15T03:00:00Z,22.202319123472947,NA,NA,NA,13.374430656433104,0,0,101463.015625,0.9082211256027222,NA,49.58333206176758,101305.8984375,NA,93.76595248847644,92.88146407568568,0.01687362417578697,0.01687383092939853,0.01687383092939853,NA,NA,296.4126892089844,296.2339172363281,293.9047546386719,1,12.997169356314338,0,-0.8349345326423645,-1.475695252418518,0.5636174082756042,1.0931613445281982,124.02107534310252,1.0073630213135842,10000
2026-01-15T04:00:00Z,22.484931498483817,NA,NA,NA,13.374430656433104,0,0,101466.515625,0.8376317024230957,NA,48.6875,101309.3203125,NA,96.86914556397387,96.55378320002455,0.01717394962906837,0.01717380248010158,0.01717380248010158,NA,NA,296.15899658203125,295.9711608886719,293.9047546386719,0.9203216433525084,40.99286139900348,0,-1.0656177997589111,-1.7001680135726929,0.6058856844902039,0.9504886865615844,119.62156081144542,1.2258216664071433,10000
2026-01-15T05:00:00Z,21.98490219409056,NA,NA,NA,13.374430656433104,0,0,101421.4921875,1,NA,47.932857513427734,101264.34375,NA,94.17537111236824,93.61329676464072,0.01665239594876766,0.01665137894451618,0.01665137894451618,NA,NA,296.1216125488281,295.9325866699219,293.9047546386719,1,56.174881124584346,0,-0.8975726366043091,-1.4369711875915527,0.6921238303184509,1.3160911798477173,127.63603952217365,1.1334337362525853,10000
2026-01-15T06:00:00Z,21.11158684508253,NA,NA,NA,13.374430656433104,0,0,101400.5234375,0,NA,46.45917892456055,101243.296875,NA,91.22048937475604,90.16868927632952,0.01576647162437439,0.01576586998999118,0.01576586998999118,NA,NA,295.7654724121094,295.57086181640625,293.9047546386719,0.22228863835334775,4.6976599355540354e-14,0,-0.6621310114860535,-1.23355233669281,0.8070142269134521,1.4776997566223145,140.63214699732902,1.0438819084610391,10000
2026-01-15T07:00:00Z,20.85515439295785,NA,NA,NA,13.374430656433104,0,0,101428.484375,0,NA,44.46320724487305,101271.1796875,NA,91.27125794226342,89.42756712459412,0.01550920773297548,0.01550911273807287,0.01550911273807287,NA,NA,295.4969787597656,295.1325378417969,293.9047546386719,0,1.4010806407585978,0,-1.291621208190918,-2.1554672718048096,0.8842495679855347,1.5033622980117798,124.3957133870712,1.5653059266262206,10000
2026-01-15T08:00:00Z,20.84722389519946,NA,NA,NA,13.374430656433104,0,0,101439.890625,0,NA,42.975215911865234,101282.5078125,NA,90.83393007493916,90.59117045365396,0.01549967098981142,0.01549977995455265,0.01549977995455265,NA,NA,295.56787109375,295.3437805175781,293.9047546386719,0.8798813819885254,0.3729640153371323,0,-1.43208909034729,-2.1585750579833984,0.47314390540122986,0.7085920572280884,108.28289390696624,1.5082255527307766,10000
2026-01-15T09:00:00Z,20.5836034450136,NA,NA,NA,13.374430656433104,0,0,101517.3046875,0,NA,42.67923355102539,101359.828125,NA,90.11844944977288,88.53789617582119,0.01523183286190033,0.01523135229945182,0.01523135229945182,NA,NA,295.4308776855469,295.223876953125,293.9047546386719,0.8977506756782532,0.36883156232743575,0,-0.9046439528465272,-1.6920952796936035,0.4657539129257202,0.791638195514679,117.2415728134336,1.0175005596201945,10000
