datetime,temp_ar,temp_orvalho,umidade_relativa,vel_vento,dir_vento,pressao,gfs_vis
2026-06-22T00:00:00Z,18.13300000000004,16.891999999999996,0.925,2.178259083860367,3.14325886715784,1018.89,24135.3
2026-06-22T03:00:00Z,17.239000000000033,16.345000000000027,0.946,0.8869815898693305,306.3123300961273,1018.41,24134.8
2026-06-22T06:00:00Z,16.77600000000001,15.866000000000042,0.9470000000000001,0.25712520758220214,100.2789086123689,1018.09,24135.1
2026-06-22T09:00:00Z,16.336000000000013,15.492999999999997,0.953,0.7876223628836672,9.09203904072922,1018.43,24134.8
2026-06-22T12:00:00Z,20.31400000000002,16.348000000000013,0.782,1.2787703932326728,52.81347751094336,1019.32,24135.1
2026-06-22T15:00:00Z,25.44500000000005,16.55000000000001,0.581,2.400695968111004,148.86737255421951,1017.33,24135.3
2026-06-22T18:00:00Z,26.05000000000001,16.793000000000006,0.563,4.696791983521174,122.08408235448331,1014.63,24135.1
2026-06-22T21:00:00Z,21.084000000000003,17.696000000000026,0.8079999999999999,2.3290337063618622,137.84320613533663,1014.52,24135.2
2026-06-23T00:00:00Z,20.290999999999997,17.150000000000034,0.82,1.9053467417257992,4.264920883038371,1015.88,24135
2026-06-23T03:00:00Z,19.283000000000015,16.283000000000015,0.8220000000000001,1.4015083735307847,332.0577597789269,1015.58,24134.9
2026-06-23T06:00:00Z,18.585000000000036,15.25,0.8109999999999999,1.6985525048412378,315.1472550322091,1014.02,24135
2026-06-23T09:00:00Z,18.05000000000001,14.650000000000034,0.805,2.003059553396544,280.9188969003437,1013.74,24135.3
2026-06-23T12:00:00Z,23.285000000000025,15.450000000000044,0.615,2.3840854652720536,293.59214813922847,1014.64,24135.1
2026-06-23T15:00:00Z,30.747000000000018,14.76400000000001,0.376,1.6014269103661016,287.7498858709621,1012.7,24134.8
2026-06-23T18:00:00Z,26.903999999999996,17.162000000000035,0.5479999999999999,8.840301625154027,214.23544626376855,1012.17,24135.1
2026-06-23T21:00:00Z,21.698000000000036,18.25,0.809,4.132805059401514,267.23595606381764,1015.36,24134.8
2026-06-24T00:00:00Z,20.43900000000002,18.65000000000003,0.895,2.9237591011869863,314.121595859242,1017.53,24134.8
2026-06-24T03:00:00Z,20.460000000000036,18.950000000000045,0.91,1.578549724162747,311.3971947245523,1016.93,23763.4
2026-06-24T06:00:00Z,20.456000000000017,18.950000000000045,0.9109999999999999,0.8581384733146199,350.6912971212623,1015.61,24134.7
2026-06-24T09:00:00Z,20.355000000000015,18.950000000000045,0.912,1.5157893592254343,268.3864052062781,1015.86,24135.1
2026-06-24T12:00:00Z,21.850000000000023,19.05000000000001,0.8390000000000001,2.9440933282780013,270.33544403182077,1016.93,24134.9
2026-06-24T15:00:00Z,25.96200000000005,18.149,0.62,2.94310440940396,82.86723894850451,1014.42,24135.1
2026-06-24T18:00:00Z,27.25600000000003,17.66500000000002,0.557,3.660139670648677,159.99755162195115,1012.57,24134.8
2026-06-24T21:00:00Z,20.562000000000012,18.450000000000045,0.878,3.4795639725746392,274.01192550867347,1018.38,20992.5
2026-06-25T00:00:00Z,19.290999999999997,18.495000000000005,0.9490000000000001,3.3660889440615187,358.93390140051883,1020.18,14690.3
2026-06-25T03:00:00Z,19.259000000000015,18.65000000000003,0.961,1.3432853862236702,329.5587781566512,1019.83,17178.4
2026-06-25T06:00:00Z,19.079000000000008,18.350000000000023,0.958,0.749279430692212,267.91362661616,1019.64,22540.5
2026-06-25T09:00:00Z,18.960000000000036,18.25,0.958,0.307776326994427,187.2077195793939,1021.01,16037.8
2026-06-25T12:00:00Z,19.05200000000002,18.350000000000023,0.9620000000000001,1.1034548068662138,355.58627298985846,1023.66,24100.6
2026-06-25T15:00:00Z,19.55000000000001,18.55000000000001,0.937,0.8642491625493434,91.25825998338364,1023.39,24135
2026-06-25T18:00:00Z,20.61500000000001,18.350000000000023,0.867,2.645069866189006,141.2578287842217,1021.74,24134.8
2026-06-25T21:00:00Z,19.665999999999997,18.350000000000023,0.9209999999999999,1.4441255967830884,153.71473280502465,1022.57,23742.6
2026-06-26T00:00:00Z,19.613,18.30200000000002,0.9229999999999999,0.4994038524787414,358.14849132666217,1023.69,23823.1
2026-06-26T03:00:00Z,19.411,18.411,0.9420000000000001,1.5390886322981747,99.94381430516682,1023.36,24134.9
2026-06-26T06:00:00Z,19.08700000000005,18.315,0.9540000000000001,2.38296961763334,283.96006897319455,1022.98,24135
2026-06-26T09:00:00Z,18.995000000000005,17.950000000000045,0.935,1.3771676500412584,345.164586923184,1023.13,24135
2026-06-26T12:00:00Z,21.528999999999996,18.105000000000015,0.8109999999999999,0.663893368269423,89.411032768415,1024.31,24135.1
2026-06-26T15:00:00Z,24.15300000000002,18.146000000000015,0.691,2.9710468388518594,153.46177190292426,1023.11,24134.8
2026-06-26T18:00:00Z,22.90500000000003,18.504999999999995,0.765,3.7056712820696087,145.48533181139936,1021.13,24135
2026-06-26T21:00:00Z,20.69500000000005,18.65000000000003,0.8809999999999999,2.370366258413418,210.722539051234,1022.75,24135.1
2026-06-27T00:00:00Z,19.700000000000045,18.867999999999995,0.943,2.6770894389506807,260.5001840776102,1024.19,23660.3
2026-06-27T03:00:00Z,19.391999999999996,18.611000000000047,0.951,0.6099136085523819,289.9207802127841,1022.64,24134.7
2026-06-27T06:00:00Z,18.809000000000022,18.382000000000005,0.973,3.421236004259599,288.9950439701064,1022.54,23705.1
2026-06-27T09:00:00Z,18.277000000000044,17.78800000000001,0.971,1.518402553391191,255.82506689375535,1022.66,24135.2
2026-06-27T12:00:00Z,21.418000000000006,18.55000000000001,0.8370000000000001,0.9444647419009192,266.20792786959595,1024.16,24135.1
