datetime,Dew point temperature (HTGL),Geopotential height (0DEG),Geopotential height (CEIL),Geopotential height (HTFL),Geopotential height (SFC),High level cloud cover,Low level cloud cover,Mean sea level pressure (ETA model),Mid level cloud cover,Parcel lifted index (to 500 hPa),Precipitable water,Pressure,Probability of precipitation,Relative humidity (HTGL),Relative humidity (HYBL),Specific humidity (HTGL),Specific humidity (HYBL),Specific humidity (SPDY),Surface lifted index,Surface roughness,Temperature (HTGL),Temperature (SFC),Temperature - sea Temperature,Total cloud cover,Total column-integrated cloud water,Water temperature,u-component of wind (HTGL),u-component of wind (SPDY),v-component of wind (HTGL),v-component of wind (SPDY),wind_angle,wind_speed
2026-06-01 00:00:00+00:00,17.60870179544242,,,,4.089154243469238,0.0,0.5518835449218749,1020.0509874302816,0.4460379028320314,,29.003047943115234,1016.5090625,,85.62864,85.62864,,,,,,293.2674255371094,297.1534118652344,294.0038146972656,0.5518835449218749,,0.0,1.9177899360656736,1.9270867109298704,-0.4069310128688812,-0.4090007543563843,281.9797668457031,1.9604874849319456
2026-06-01 01:00:00+00:00,17.26961921238691,,,,4.089154243469238,0.0,0.8365576171875002,1019.66629612261,0.5461663818359375,,30.149259567260746,1016.1234375,,84.14264,84.14264,,,,,,293.64959716796875,293.74542236328125,294.0038146972656,0.8365576171875002,,0.0,1.735035061836243,2.218979358673096,-1.0277501344680786,-1.3150558471679688,300.64044189453125,2.0165855884552
2026-06-01 02:00:00+00:00,17.30903598724931,,,,4.089154243469238,0.0,1.0,1019.7236648050392,0.6973236083984373,,30.79612922668457,1016.18375,,86.45853,86.45853,,,,,,293.2511291503906,293.3427429199219,294.0038146972656,1.0,,0.0,1.7862496376037598,2.286848545074463,-1.1217681169509888,-1.4362037181854248,302.12890625,2.1092774868011475
2026-06-01 03:00:00+00:00,17.174276962347385,,,,4.089154243469238,0.0,1.0,1019.851654254737,0.8101071166992186,,31.17173194885254,1016.311796875,,85.755135,85.755135,,,,,,293.27099609375,293.4183959960937,294.0038146972656,1.0,,0.0,1.7054100036621094,2.169628858566284,-1.0469952821731567,-1.3315805196762085,301.5468444824219,2.001155376434326
2026-06-01 04:00:00+00:00,17.177745020735482,,,,4.089154243469238,0.0,0.9895867919921876,1019.2989933356656,0.8302609252929689,,30.913166046142575,1015.762109375,,86.4986,86.4986,,,,,,293.0090026855469,292.9205017089844,294.0038146972656,0.9895867919921876,,0.0,1.7345644235610962,2.3030030727386475,-1.2513434886932373,-1.6628532409667969,305.80731201171875,2.1388254165649414
2026-06-01 05:00:00+00:00,17.272989734693876,,,,4.089154243469238,0.0,1.0,1019.0260566190896,0.8111703491210935,,30.79129981994629,1015.490546875,,87.73032,87.73032,,,,,,292.8819580078125,292.7979736328125,294.0038146972656,1.0,,0.0,1.6011645793914795,2.131410360336304,-1.1800506114959717,-1.570075750350952,306.3900451660156,1.989031791687012
2026-06-01 06:00:00+00:00,17.16827941436078,,,,4.089154243469238,0.0,0.9776403808593752,1018.6850082026772,0.8894268798828127,,30.764055252075195,1015.152578125,,87.66367,87.66367,,,,,,292.84307861328125,292.8486633300781,294.0038146972656,0.9776403808593752,,0.0,1.796885967254639,2.328495979309082,-1.2894282341003418,-1.6683622598648071,305.6628723144531,2.2116565704345703
2026-06-01 07:00:00+00:00,17.063516984264574,,,,4.089154243469238,0.0,0.8750039672851564,1018.9812346207192,0.5735546875000002,,30.054244995117188,1015.451328125,,88.20013,88.20013,,,,,,292.5278625488281,292.38043212890625,294.0038146972656,0.8750039672851564,,0.0,1.496174693107605,2.051090240478516,-1.0819556713104248,-1.483402967453003,305.8724975585937,1.8463928699493408
2026-06-01 08:00:00+00:00,16.89790574440542,,,,4.089154243469238,0.0,0.8410739135742187,1018.8335129428622,0.3301712036132813,,29.824352264404297,1015.307421875,,88.16349,88.16349,,,,,,292.357177734375,292.1888122558594,294.0038146972656,0.8410739135742187,,0.0,1.8198575973510744,2.4698286056518555,-1.1394407749176023,-1.5452744960784912,302.0513000488281,2.147139310836792
2026-06-01 09:00:00+00:00,16.760371142774844,,,,4.089154243469238,0.0,0.7551000976562499,1018.9702919353444,0.2867864990234374,,29.215900421142575,1015.44546875,,87.55189,87.55189,,,,,,292.2837829589844,292.04962158203125,294.0038146972656,0.7551000976562499,,0.0,2.237060546875,3.047290563583374,-0.9046647548675536,-1.2314211130142212,292.0183410644531,2.413059949874878
