datetime,visibility
2025-01-01T05:00:00Z,2000
2025-01-01T06:00:00Z,8000
2025-01-01T20:00:00Z,9000
2025-01-02T09:00:00Z,8000
2025-01-02T10:00:00Z,8000
2025-01-03T01:00:00Z,5000
2025-01-03T02:00:00Z,8000
2025-01-03T03:00:00Z,8000
2025-01-03T04:00:00Z,9000
2025-01-03T05:00:00Z,9000
2025-01-03T06:00:00Z,9000
2025-01-03T07:00:00Z,9000
2025-01-06T05:00:00Z,8000
2025-01-06T06:00:00Z,8000
2025-01-06T07:00:00Z,8000
2025-01-06T08:00:00Z,8000
2025-01-07T03:16:00Z,3000
2025-01-07T03:46:00Z,8000
2025-01-07T11:00:00Z,8000
2025-01-07T13:00:00Z,8000
2025-01-07T14:00:00Z,8000
2025-01-07T15:00:00Z,8000
2025-01-07T16:00:00Z,8000
2025-01-08T11:00:00Z,9000
2025-01-08T12:00:00Z,9000
2025-01-08T13:00:00Z,9000
2025-01-08T14:00:00Z,9000
2025-01-08T18:00:00Z,9000
2025-01-08T21:00:00Z,5000
2025-01-08T21:35:00Z,4000
2025-01-08T22:00:00Z,1500
2025-01-08T22:25:00Z,3500
2025-01-08T23:00:00Z,4000
2025-01-08T23:15:00Z,6000
2025-01-09T00:00:00Z,7000
2025-01-09T00:29:00Z,5000
2025-01-09T00:45:00Z,2500
2025-01-09T01:00:00Z,2000
2025-01-09T01:28:00Z,3000
2025-01-09T02:00:00Z,8000
2025-01-09T02:45:00Z,3000
2025-01-09T03:00:00Z,2500
2025-01-09T03:25:00Z,4000
2025-01-09T04:00:00Z,8000
2025-01-09T05:00:00Z,8000
2025-01-09T06:00:00Z,8000
2025-01-09T10:00:00Z,8000
2025-01-09T11:00:00Z,8000
2025-01-09T12:00:00Z,8000
2025-01-09T13:45:00Z,3000
2025-01-09T13:45:00Z,3000
2025-01-09T14:00:00Z,1500
2025-01-09T14:39:00Z,3000
2025-01-09T15:00:00Z,6000
2025-01-09T16:00:00Z,7000
2025-01-09T16:16:00Z,4000
2025-01-09T16:29:00Z,8000
2025-01-10T02:00:00Z,8000
2025-01-10T03:00:00Z,7000
2025-01-10T04:00:00Z,7000
2025-01-10T05:00:00Z,7000
2025-01-10T06:00:00Z,6000
2025-01-10T07:00:00Z,6000
2025-01-10T08:00:00Z,8000
2025-01-10T09:00:00Z,8000
2025-01-10T10:00:00Z,9000
2025-01-13T02:00:00Z,6000
2025-01-13T03:00:00Z,8000
2025-01-13T04:00:00Z,9000
2025-01-13T05:00:00Z,9000
2025-01-13T06:00:00Z,9000
2025-01-13T07:00:00Z,9000
2025-01-13T08:00:00Z,4000
2025-01-13T09:00:00Z,9000
2025-01-13T10:00:00Z,4000
2025-01-13T11:00:00Z,4000
2025-01-13T11:16:00Z,5000
2025-01-13T12:00:00Z,8000
2025-01-13T22:00:00Z,9000
2025-01-14T08:00:00Z,8000
2025-01-14T09:00:00Z,8000
2025-01-14T10:00:00Z,8000
2025-01-14T19:00:00Z,6000
2025-01-14T20:00:00Z,8000
2025-01-14T21:00:00Z,3000
2025-01-14T22:00:00Z,6000
2025-01-14T23:00:00Z,6000
2025-01-15T05:00:00Z,9000
2025-01-15T05:42:00Z,4000
2025-01-15T09:00:00Z,4000
2025-01-15T10:00:00Z,8000
2025-01-15T11:00:00Z,7000
2025-01-16T04:00:00Z,8000
2025-01-17T06:00:00Z,8000
2025-01-17T07:00:00Z,8000
2025-01-20T06:00:00Z,8000
2025-01-20T07:00:00Z,8000
2025-01-22T18:00:00Z,8000
2025-01-23T10:00:00Z,7000
2025-01-23T20:00:00Z,7000
2025-01-24T06:00:00Z,8000
2025-01-24T07:00:00Z,8000
2025-01-25T20:00:00Z,1000
2025-01-25T20:17:00Z,3000
2025-01-28T09:00:00Z,9000
2025-01-29T06:00:00Z,8000
2025-01-29T07:00:00Z,7000
2025-01-29T09:00:00Z,8000
2025-01-29T10:00:00Z,7000
2025-01-29T19:00:00Z,2000
2025-01-29T19:18:00Z,1500
2025-01-29T20:00:00Z,2500
2025-01-29T20:13:00Z,4000
2025-01-29T21:00:00Z,6000
2025-01-29T21:24:00Z,8000
2025-01-30T20:00:00Z,9000
2025-01-30T22:00:00Z,9000
2025-01-31T19:00:00Z,900
2025-01-31T19:12:00Z,600
2025-01-31T19:35:00Z,5000
2025-01-31T20:00:00Z,8000
2025-01-31T21:00:00Z,9000
2025-01-31T23:00:00Z,9000
2025-02-04T06:00:00Z,8000
2025-02-04T07:00:00Z,8000
2025-02-09T06:00:00Z,8000
2025-02-09T07:00:00Z,8000
2025-02-09T08:00:00Z,8000
2025-02-09T09:00:00Z,8000
2025-02-09T11:00:00Z,9000
2025-02-09T12:00:00Z,9000
2025-02-14T06:00:00Z,8000
2025-02-14T07:00:00Z,8000
2025-02-14T08:00:00Z,8000
2025-02-15T04:00:00Z,8000
2025-02-15T05:00:00Z,7000
2025-02-15T06:00:00Z,7000
2025-02-15T07:00:00Z,8000
2025-02-18T11:00:00Z,8000
2025-02-18T12:00:00Z,8000
2025-02-19T06:00:00Z,8000
2025-02-19T07:00:00Z,8000
2025-02-21T11:00:00Z,8000
2025-02-21T12:00:00Z,8000
2025-02-21T14:00:00Z,8000
2025-02-21T15:00:00Z,8000
2025-02-21T16:00:00Z,8000
2025-02-22T06:00:00Z,8000
2025-02-22T07:00:00Z,8000
2025-02-22T09:00:00Z,8000
2025-02-22T10:00:00Z,8000
2025-02-22T11:00:00Z,9000
2025-02-23T06:00:00Z,8000
2025-02-23T09:00:00Z,8000
2025-03-01T06:00:00Z,8000
2025-03-01T07:00:00Z,8000
2025-03-02T09:00:00Z,8000
2025-03-02T10:00:00Z,8000
2025-03-03T20:00:00Z,8000
2025-03-03T21:00:00Z,8000
2025-03-03T22:00:00Z,8000
2025-03-05T12:00:00Z,8000
2025-03-05T13:00:00Z,8000
2025-03-06T06:00:00Z,8000
2025-03-06T07:00:00Z,8000
2025-03-07T07:00:00Z,9000
2025-03-07T08:00:00Z,9000
2025-03-08T10:00:00Z,9000
2025-03-10T02:00:00Z,8000
2025-03-10T03:00:00Z,8000
2025-03-11T06:00:00Z,8000
2025-03-11T07:00:00Z,8000
2025-03-11T08:00:00Z,8000
2025-03-11T20:41:00Z,8000
2025-03-11T21:00:00Z,8000
2025-03-12T02:00:00Z,7000
2025-03-12T03:00:00Z,7000
2025-03-12T09:00:00Z,8000
2025-03-12T21:40:00Z,8000
2025-03-13T09:00:00Z,2000
2025-03-13T10:00:00Z,6000
2025-03-13T11:00:00Z,7000
2025-03-13T12:00:00Z,7000
2025-03-13T13:00:00Z,7000
2025-03-13T14:00:00Z,7000
2025-03-13T15:00:00Z,8000
2025-03-13T20:00:00Z,8000
2025-03-13T21:00:00Z,7000
2025-03-13T22:00:00Z,8000
2025-03-13T23:00:00Z,8000
2025-03-14T00:00:00Z,7000
2025-03-14T05:00:00Z,8000
2025-03-14T07:00:00Z,7000
2025-03-14T08:00:00Z,8000
2025-03-14T09:00:00Z,7000
2025-03-14T10:00:00Z,8000
2025-03-14T11:00:00Z,7000
2025-03-14T12:00:00Z,7000
2025-03-14T13:00:00Z,7000
2025-03-14T14:00:00Z,8000
2025-03-14T15:00:00Z,8000
2025-03-14T16:00:00Z,8000
2025-03-14T17:00:00Z,9000
2025-03-14T18:00:00Z,9000
2025-03-15T02:00:00Z,8000
2025-03-15T04:00:00Z,8000
2025-03-15T05:00:00Z,7000
2025-03-15T06:00:00Z,8000
2025-03-16T02:25:00Z,5000
2025-03-16T03:00:00Z,4000
2025-03-16T04:00:00Z,8000
2025-03-16T05:00:00Z,8000
2025-03-16T06:00:00Z,8000
2025-03-16T07:00:00Z,8000
2025-03-17T09:00:00Z,8000
2025-03-17T10:00:00Z,8000
2025-03-17T11:00:00Z,7000
2025-03-17T12:00:00Z,4000
2025-03-17T13:00:00Z,4000
2025-03-17T14:00:00Z,4000
2025-03-17T15:00:00Z,4000
2025-03-17T16:00:00Z,4000
2025-03-17T17:00:00Z,4000
2025-03-17T18:00:00Z,6000
2025-03-18T06:00:00Z,7000
2025-03-18T07:00:00Z,6000
2025-03-18T08:00:00Z,6000
2025-03-18T09:00:00Z,4500
2025-03-18T10:00:00Z,4500
2025-03-18T10:19:00Z,6000
2025-03-18T11:00:00Z,8000
2025-03-19T02:00:00Z,8000
2025-03-19T06:00:00Z,7000
2025-03-19T07:00:00Z,7000
2025-03-19T08:00:00Z,7000
2025-03-19T09:00:00Z,8000
2025-03-19T10:00:00Z,8000
2025-03-19T20:00:00Z,9000
2025-03-19T21:00:00Z,8000
2025-03-19T22:00:00Z,7000
2025-03-19T23:00:00Z,6000
2025-03-20T00:00:00Z,7000
2025-03-20T01:00:00Z,7000
2025-03-20T02:00:00Z,6000
2025-03-20T03:31:00Z,4000
2025-03-20T04:00:00Z,4000
2025-03-20T04:22:00Z,6000
