datetime,vel_vento,temp_ar,temp_orvalho,pressao,umidade_relativa
2026-06-01T00:00:00Z,2.9582962348574076,19.789000000000044,17.25,1019.77,85.2
2026-06-01T03:00:00Z,3.4140025928628956,19.197000000000003,17.25,1019.54,88.4
2026-06-01T06:00:00Z,3.202575964141091,19.25,17.05000000000001,1018.78,87.1
2026-06-01T09:00:00Z,3.115105830407858,19.06200000000001,16.59200000000004,1019.15,85.8
2026-06-01T12:00:00Z,2.4644451525633304,21.716000000000008,16.58000000000004,1020.49,72.6
2026-06-01T15:00:00Z,3.03370311739411,26.067000000000007,16.009000000000015,1019.18,53.7
2026-06-01T18:00:00Z,5.7856222728450035,23.908000000000012,16.790999999999997,1018.08,64
2026-06-01T21:00:00Z,2.006351991208623,21.07800000000003,17.75,1019.72,81.1
2026-06-02T00:00:00Z,1.8018682717946464,20.004999999999995,17.950000000000045,1020.96,88.1
2026-06-02T03:00:00Z,2.818768157218995,18.55200000000002,17.935000000000002,1021.39,95.8
2026-06-02T06:00:00Z,2.6259299867821846,18.15900000000005,17.55200000000002,1020.9,96.5
2026-06-02T09:00:00Z,2.7616971718482652,18.041,17.43300000000005,1021.66,95.89999999999999
2026-06-02T12:00:00Z,2.0914221815195178,19.974000000000046,17.762,1023.83,87
2026-06-02T15:00:00Z,2.3118851880832043,21.327,18.176000000000045,1023.12,82.1
2026-06-02T18:00:00Z,3.3272164997628444,21.91300000000001,17.371000000000038,1021.86,75.6
2026-06-02T21:00:00Z,0.7873121552931032,18.813000000000045,17.25,1023.22,90.5
2026-06-03T00:00:00Z,1.4028527175760837,18.55000000000001,17.25,1024.4,92.60000000000001
2026-06-03T03:00:00Z,1.9188960658635954,17.55000000000001,16.850000000000023,1024.59,95.5
2026-06-03T06:00:00Z,2.1140234964771203,16.75200000000001,16.25,1023.98,97.1
2026-06-03T09:00:00Z,2.5776635420194824,16.27800000000002,15.75,1024.48,97.2
2026-06-03T12:00:00Z,0.8443463254460083,19.595000000000027,17.25,1026.24,85.9
2026-06-03T15:00:00Z,2.515934204666607,23.964,15.888000000000034,1025.25,60.3
2026-06-03T18:00:00Z,5.113326240701953,23.360000000000017,15.512,1023.68,61.6
2026-06-03T21:00:00Z,2.5336446677801034,19.791,16.335000000000036,1025.34,80.1
2026-06-04T00:00:00Z,1.5995398658516944,18.65100000000001,17.25,1026.61,91.4
2026-06-04T03:00:00Z,1.7538745200629529,17.847000000000037,17.00600000000003,1026.5,94.6
2026-06-04T06:00:00Z,1.903305081402599,17.14300000000003,16.55000000000001,1026.05,96.2
2026-06-04T09:00:00Z,0.7543901359951363,16.69500000000005,16.098000000000013,1026.75,96.5
2026-06-04T12:00:00Z,0.6955236764726388,18.971000000000004,16.79400000000004,1028.42,87.2
2026-06-04T15:00:00Z,NA,NA,NA,NA,NA
2026-06-04T18:00:00Z,7.119617621280573,21.88100000000003,16.479000000000042,1025.62,71.2
2026-06-04T21:00:00Z,4.329221639153184,20.242999999999995,15.00200000000001,1026.63,72.3
2026-06-05T00:00:00Z,2.562823814316203,18.237000000000023,15.897000000000048,1027.06,86.1
2026-06-05T03:00:00Z,NA,NA,NA,NA,NA
2026-06-05T06:00:00Z,1.3228251357699605,16.003000000000043,14.512,1025.75,90.60000000000001
2026-06-05T09:00:00Z,2.3513837161543574,15.289000000000044,13.89500000000004,1025.56,91.60000000000001
2026-06-05T12:00:00Z,1.0303017040725129,18.850000000000023,14.75,1026.79,77
2026-06-05T15:00:00Z,4.002676765442048,22.378000000000043,13.536,1025.15,57.2
2026-06-05T18:00:00Z,5.892273190478373,21.548,13.650000000000034,1023.21,60.8
2026-06-05T21:00:00Z,3.1167860958045974,18.61500000000001,13.050000000000011,1023.56,70.5
2026-06-06T00:00:00Z,1.8407348503312129,17.25,13.852000000000032,1023.86,80.3
2026-06-06T03:00:00Z,1.9970518964933055,16.513000000000034,13.713000000000022,1022.89,83.5
2026-06-06T06:00:00Z,2.2747901531760797,15.149,12.950000000000044,1021.26,86.9
2026-06-06T09:00:00Z,2.016156312193929,14.56800000000004,12.27800000000002,1021.04,85.9
2026-06-06T12:00:00Z,0.769874416974033,18.894000000000005,12.822000000000005,1021.62,67.4
2026-06-06T15:00:00Z,2.3929587490653934,23.32800000000003,12.550000000000011,1019.5,50.7
2026-06-06T18:00:00Z,5.439020211406554,23.385000000000048,12.789000000000044,1017.19,51
2026-06-06T21:00:00Z,2.347295629310869,18.480999999999995,13.316000000000033,1017.27,71.5
2026-06-07T00:00:00Z,1.521489328884697,17.496000000000038,13.150000000000034,1018.04,76.1
2026-06-07T03:00:00Z,2.071463861196538,16.229000000000042,12.650000000000034,1018.14,79.4
2026-06-07T06:00:00Z,1.8970222575763735,15.30600000000004,11.850000000000025,1016.85,80
2026-06-07T09:00:00Z,2.15692488091944,14.735000000000014,11.282000000000041,1017.43,80.1
2026-06-07T12:00:00Z,1.2992952272305163,19.745000000000005,12.25,1018.59,61.9
2026-06-07T15:00:00Z,2.083312902946062,25.605000000000015,12.550000000000011,1016.98,44.1
2026-06-07T18:00:00Z,6.037682353827285,25.267,11.950000000000044,1015.83,43.2
2026-06-07T21:00:00Z,1.6829626939957503,19.236000000000047,14.212000000000046,1018.15,72.3
2026-06-08T00:00:00Z,2.080143873690855,17.492999999999995,13.793000000000006,1019.54,78.6
2026-06-08T03:00:00Z,2.6294146097329922,16.278999999999996,13.16500000000002,1019.9,81.6
2026-06-08T06:00:00Z,2.010738446624481,15.365000000000007,12.650000000000034,1019.28,83.9
2026-06-08T09:00:00Z,2.1021728609396755,14.67900000000003,12.050000000000011,1019.64,84.1
2026-06-08T12:00:00Z,0.9136968960896132,19.55400000000003,12.25,1021.29,62.3
2026-06-08T15:00:00Z,2.0072843088833454,24.751000000000037,11.350000000000025,1019.61,43
2026-06-08T18:00:00Z,4.976046567997327,24.946000000000023,11.715000000000032,1017.54,43.4
2026-06-08T21:00:00Z,2.2351988436141395,19.495000000000005,14.25,1018.14,71.7
2026-06-09T00:00:00Z,2.059952479358563,18.322000000000003,14.622000000000014,1018.47,78.7
2026-06-09T03:00:00Z,1.7510663990065751,17.162000000000035,13.850000000000025,1018.18,81.1
2026-06-09T06:00:00Z,1.6051950672414608,16.17100000000005,12.998000000000047,1016.98,81.2
2026-06-09T09:00:00Z,2.0878638297770054,15.59200000000004,12.552999999999995,1017.25,81.8
2026-06-09T12:00:00Z,1.631218184085475,20.454000000000008,13.571000000000026,1018.2,64.7
2026-06-09T15:00:00Z,1.6602237937755349,26.660000000000025,13.150000000000034,1016.15,43.5
2026-06-09T18:00:00Z,2.057310624230323,28.05000000000001,11.450000000000044,1013.48,35.5
2026-06-09T21:00:00Z,1.630637038341602,21.559000000000022,13.574000000000012,1014.22,60.099999999999994
2026-06-10T00:00:00Z,2.796515261097536,19.87200000000001,12.950000000000044,1015.88,64.4
2026-06-10T03:00:00Z,2.8842145134711523,18.46700000000004,12.864000000000033,1016.17,69.2
2026-06-10T06:00:00Z,2.1584471260130558,17.980000000000018,12.557000000000016,1015.36,70.6
2026-06-10T09:00:00Z,2.246008112729953,17.05200000000002,12.317000000000007,1016.15,73.6
2026-06-10T12:00:00Z,1.278272449222864,21.41500000000002,13.150000000000034,1018.26,58.9
2026-06-10T15:00:00Z,2.5251023596661506,26.00900000000001,12.950000000000044,1016.36,44.2
2026-06-10T18:00:00Z,5.879255911660332,25.567000000000007,13.46700000000004,1013.86,46.9
2026-06-10T21:00:00Z,4.106413549945167,20.63100000000003,16.850000000000023,1015.58,79
2026-06-11T00:00:00Z,1.2662385550563324,19.608000000000004,17.269000000000005,1017.54,86.4
2026-06-11T03:00:00Z,1.6136703524200207,18.547000000000025,16.96900000000005,1017.26,90.10000000000001
2026-06-11T06:00:00Z,0.16566709418149853,17.966000000000008,16.569000000000017,1016.37,91.3
2026-06-11T09:00:00Z,2.072014534854247,17.585000000000036,16.369000000000028,1017.49,92.9
2026-06-11T12:00:00Z,1.353782592947014,18.94800000000004,16.826000000000022,1019.43,87.6
2026-06-11T15:00:00Z,1.336635763324389,18.62700000000001,17.66900000000004,1018.42,93.7
2026-06-11T18:00:00Z,2.2314210692348184,19.208000000000027,17.850000000000023,1015.94,92.30000000000001
2026-06-11T21:00:00Z,0.4132339741340435,18.108000000000004,17.150000000000034,1016.79,94
2026-06-12T00:00:00Z,1.9452464171560884,18.286,17.450000000000045,1016.83,95
2026-06-12T03:00:00Z,2.1550197547316277,17.814999999999998,16.572000000000003,1016.63,92.9
2026-06-12T06:00:00Z,2.2498303522678262,17.311000000000035,16.132000000000005,1015.26,93.60000000000001
2026-06-12T09:00:00Z,2.503505342834316,16.920000000000016,15.850000000000025,1015.18,93.60000000000001
2026-06-12T12:00:00Z,0.7459974572932796,21.452,16.650000000000034,1016.02,74
2026-06-12T15:00:00Z,1.1030559094504886,27.90700000000004,15.650000000000034,1013.16,47
2026-06-12T18:00:00Z,2.9024894275411848,29.38400000000001,15.40500000000003,1010.84,42.4
2026-06-12T21:00:00Z,3.8401121102106415,24.08000000000004,17.605000000000018,1012.19,66.6
2026-06-13T00:00:00Z,2.7553781005804487,21.267,18.108000000000004,1013.17,82.8
2026-06-13T03:00:00Z,3.1958372226733553,21.08200000000005,17.25,1012.74,78.9
2026-06-13T06:00:00Z,2.7202422330179448,20.567000000000007,17.150000000000034,1012.12,80.4
2026-06-13T09:00:00Z,2.604560845983023,20.605000000000015,17.150000000000034,1012.76,80.8
2026-06-13T12:00:00Z,1.7925873950623838,25.584000000000003,17.950000000000045,1014.6,62.2
2026-06-13T15:00:00Z,5.5236479312315,30.260000000000048,17.350000000000023,1014.45,46
2026-06-13T18:00:00Z,2.9802088014284074,25.551000000000045,19.451000000000025,1014.72,68.8
2026-06-13T21:00:00Z,4.757579041888232,21.507000000000005,17.650000000000034,1017.22,78.7
2026-06-14T00:00:00Z,2.185170655381514,21.52600000000001,17.950000000000045,1018.33,79.8
2026-06-14T03:00:00Z,1.0475504144774852,21.297000000000025,18.450000000000045,1018.05,83.6
2026-06-14T06:00:00Z,0.7675671421796864,20.75800000000004,18.738,1017.55,87.9
2026-06-14T09:00:00Z,0.7302937026947443,20.450000000000045,19.05000000000001,1018.52,91.9
2026-06-14T12:00:00Z,1.137971700142445,22.13400000000001,19.15000000000004,1019.88,82.9
2026-06-14T15:00:00Z,2.920806353943264,25.686000000000035,17.962000000000046,1017.82,62.3
2026-06-14T18:00:00Z,5.137908277260153,25.40300000000002,17.75,1015.19,62.1
2026-06-14T21:00:00Z,3.51764086900826,21.815,18.25,1015.91,79.8
2026-06-15T00:00:00Z,0.9672230639272843,20.732000000000028,18.72200000000004,1017.58,88.2
2026-06-15T03:00:00Z,2.233076567233829,20.28200000000004,18.55000000000001,1017.16,89.9
2026-06-15T06:00:00Z,2.418686749134747,19.287000000000035,18.257000000000005,1016.46,93.8
2026-06-15T09:00:00Z,2.5072884658180588,18.94100000000003,18.015000000000043,1017.02,94.3
2026-06-15T12:00:00Z,1.9066905469856255,22.432000000000016,18.283000000000012,1018.31,77.7
2026-06-15T15:00:00Z,4.740991282666377,25.04600000000005,19.05000000000001,1017.2,69.3
2026-06-15T18:00:00Z,3.6335833950966823,22.607000000000028,20.450000000000045,1016.49,87.7
2026-06-15T21:00:00Z,1.1176713780173042,20.444000000000017,19.75,1017.64,95.6
2026-06-16T00:00:00Z,1.9788795701287265,20.152000000000044,19.65000000000004,1018.89,96.7
2026-06-16T03:00:00Z,1.983551596228911,19.869000000000028,19.583000000000027,1018.27,98.2
2026-06-16T06:00:00Z,3.048146774104034,19.340000000000032,19.123000000000047,1017.09,98.7
2026-06-16T09:00:00Z,2.2837590430265537,19.213000000000022,18.852000000000032,1017.7,97.7
2026-06-16T12:00:00Z,2.379100288114286,19.108000000000004,18.65000000000004,1019.54,97
2026-06-16T15:00:00Z,1.7852602269258124,19.422000000000025,18.55000000000001,1018.9,95.19999999999999
2026-06-16T18:00:00Z,1.6687455331760273,20.46200000000005,18.55000000000001,1017.63,89.2
2026-06-16T21:00:00Z,1.5211376136576913,18.97200000000004,17.950000000000045,1018.95,94.3
2026-06-17T00:00:00Z,1.9759789448045997,18.61500000000001,17.972000000000037,1020.21,96.2
2026-06-17T03:00:00Z,1.0772975528058129,18.458000000000027,17.772000000000048,1020.11,95.89999999999999
2026-06-17T06:00:00Z,0.4037681434437155,18.236000000000047,17.593000000000018,1019.11,95.89999999999999
2026-06-17T09:00:00Z,3.1231897496012757,16.778999999999996,16.39300000000003,1019.73,97.8
2026-06-17T12:00:00Z,3.763935557236212,19.485000000000017,17.293000000000006,1021.74,87.4
2026-06-17T15:00:00Z,4.495498827773237,22.982000000000028,15.652000000000044,1021.24,63.4
2026-06-17T18:00:00Z,5.685092625102275,22.466000000000008,15.258000000000038,1019.95,63.9
2026-06-17T21:00:00Z,2.75314288459455,18.579000000000008,15.613,1022.01,82.7
2026-06-18T00:00:00Z,2.51552415371415,17.778999999999996,15.965000000000032,1023.24,88.9
2026-06-18T03:00:00Z,2.041689123665102,16.711000000000013,14.850000000000025,1023.64,88.2
2026-06-18T06:00:00Z,1.4732614702408013,15.744000000000028,13.450000000000044,1023.51,86.4
2026-06-18T09:00:00Z,2.3334312050901405,14.980000000000018,12.855999999999996,1024.16,87.2
2026-06-18T12:00:00Z,2.252560526490148,18.80800000000005,13.616000000000042,1026.21,71.5
2026-06-18T15:00:00Z,0.7430996554089199,22.908000000000012,12.069000000000017,1024.69,50.4
2026-06-18T18:00:00Z,5.598818506114896,21.765000000000043,12.45500000000004,1023.45,55.60000000000001
2026-06-18T21:00:00Z,1.5297028742945529,17.65700000000004,13.150000000000034,1024.88,74.6
2026-06-19T00:00:00Z,2.36333589500091,16.934000000000026,12.975000000000025,1025.54,77.4
2026-06-19T03:00:00Z,1.713981490060333,15.950000000000044,12.953000000000031,1025.31,82.5
2026-06-19T06:00:00Z,2.089213425224184,14.999000000000024,12.350000000000025,1023.75,84.2
2026-06-19T09:00:00Z,1.6358675293530713,14.325000000000044,11.650000000000034,1023.02,84.1
2026-06-19T12:00:00Z,1.0355491512689892,18.503000000000043,12.050000000000011,1023.58,66
2026-06-19T15:00:00Z,1.9957863977962618,23.450000000000045,11.650000000000034,1020.64,47.5
2026-06-19T18:00:00Z,3.5411740916217407,23.477000000000032,12.262,1018.28,48.8
2026-06-19T21:00:00Z,2.706483564309535,19.398000000000025,12.862000000000023,1017.84,65.6
2026-06-20T00:00:00Z,2.389259036431547,18.00600000000003,13.074000000000012,1018.86,72.7
2026-06-20T03:00:00Z,2.057777184376777,16.934000000000026,12.362000000000023,1018.19,74.4
2026-06-20T06:00:00Z,1.6964483890076376,16.186000000000035,12.050000000000011,1016.82,76.3
2026-06-20T09:00:00Z,2.3280781447842465,15.638000000000034,11.938000000000043,1016.28,78.6
2026-06-20T12:00:00Z,NA,NA,NA,NA,NA
2026-06-20T15:00:00Z,1.0986455349373652,26.674000000000035,13.550000000000011,1015.14,44.29999999999999
2026-06-20T18:00:00Z,2.325908416411493,27.15000000000004,14.150000000000034,1012.15,44.79999999999999
2026-06-20T21:00:00Z,3.441371931452391,21.471000000000004,14.75,1011.94,65.3
2026-06-21T00:00:00Z,3.136605187331568,19.749000000000024,13.974000000000046,1012.46,69.1
2026-06-21T03:00:00Z,2.3989881695675566,19.70700000000005,13.450000000000044,1012.03,66.9
2026-06-21T06:00:00Z,4.488014085598145,19.011000000000024,14.762,1013.23,76.2
2026-06-21T09:00:00Z,2.5123636640767266,17.99000000000001,16.562000000000012,1015.4,92
2026-06-21T12:00:00Z,2.5332626914166827,20.447000000000003,17.986000000000047,1018.41,85.9
2026-06-21T15:00:00Z,3.1667988907365188,21.12900000000002,18.474000000000046,1018.3,84.8
2026-06-21T18:00:00Z,4.086063371265065,21.15000000000004,18.15000000000004,1017.13,83
2026-06-21T21:00:00Z,0.804405062526238,19.76800000000003,17.650000000000034,1018.33,87.2
2026-06-22T00:00:00Z,2.178259083860367,18.13300000000004,16.891999999999996,1018.89,92.5
2026-06-22T03:00:00Z,0.8869815898693305,17.239000000000033,16.345000000000027,1018.41,94.6
2026-06-22T06:00:00Z,0.2571252075822021,16.77600000000001,15.866000000000042,1018.09,94.69999999999999
2026-06-22T09:00:00Z,0.7876223628836672,16.336000000000013,15.492999999999997,1018.43,95.3
2026-06-22T12:00:00Z,1.2787703932326728,20.31400000000002,16.348000000000013,1019.32,78.2
2026-06-22T15:00:00Z,2.400695968111004,25.44500000000005,16.55000000000001,1017.33,58.099999999999994
2026-06-22T18:00:00Z,4.696791983521174,26.05000000000001,16.793000000000006,1014.63,56.3
2026-06-22T21:00:00Z,2.3290337063618622,21.084000000000003,17.696000000000026,1014.52,80.8
2026-06-23T00:00:00Z,1.7875026608570466,20.465000000000032,16.977000000000032,1015.03,80.7
2026-06-23T03:00:00Z,1.261745002506702,19.464,16.450000000000045,1014.92,82.4
2026-06-23T06:00:00Z,1.5327246817016023,18.65000000000004,15.650000000000034,1013.15,82.8
2026-06-23T09:00:00Z,2.138251639876954,17.980999999999995,15.050000000000011,1013.21,82.7
2026-06-23T12:00:00Z,2.052384131869228,23.450000000000045,15.850000000000025,1014.54,62.4
