datetime,temp_ar_wrf,temp_orvalho_wrf,pressao_wrf,vel_vento_wrf,umidade_relativa_wrf
2026-06-01T00:00:00Z,20.117425537109398,17.60870179544242,10.165090625,3.810873992710113,85.62864
2026-06-01T01:00:00Z,20.499597167968773,17.26961921238691,10.161234375,3.919919730262756,84.14264
2026-06-01T02:00:00Z,20.101129150390648,17.30903598724931,10.1618375,4.100097949943542,86.45853
2026-06-01T03:00:00Z,20.120996093750023,17.174276962347385,10.16311796875,3.8899258669281007,85.755135
2026-06-01T04:00:00Z,19.859002685546898,17.177745020735482,10.15762109375,4.157534397735596,86.4986
2026-06-01T05:00:00Z,19.731958007812523,17.272989734693876,10.15490546875,3.8663595579528813,87.73032
2026-06-01T06:00:00Z,19.693078613281273,17.16827941436078,10.15152578125,4.299106507873535,87.66367
2026-06-01T07:00:00Z,19.377862548828148,17.063516984264574,10.15451328125,3.5890923163223265,88.20013
2026-06-01T08:00:00Z,19.207177734375023,16.89790574440542,10.15307421875,4.173695277976989,88.16349
2026-06-01T09:00:00Z,19.133782958984398,16.760371142774844,10.1544546875,4.690602452964783,87.55189
2026-06-01T10:00:00Z,19.386590576171898,16.613710779958524,10.16010546875,3.4990129388809206,86.338524
2026-06-01T11:00:00Z,20.939721679687523,16.47901467975289,10.16309140625,4.1590025996398925,79.80166
2026-06-01T12:00:00Z,22.592950439453148,16.768586507047704,10.168053125,2.95580627286911,74.78821
2026-06-01T13:00:00Z,24.187005615234398,16.27642404668342,10.1611484375,2.0546192631912232,66.59376
2026-06-01T14:00:00Z,25.672204589843716,15.754040427784496,10.16116953125,2.0582024080848695,59.520405
2026-06-01T15:00:00Z,26.782647705078148,15.488822749907532,10.152085937499999,1.4534715708446502,54.971764
2026-06-01T16:00:00Z,26.451715087890648,16.554748017541918,10.148292968749999,6.494388597068786,60.962845
2026-06-01T17:00:00Z,26.594903564453148,16.58607440179162,10.1443984375,6.315593768386841,59.98056
2026-06-01T18:00:00Z,25.728448486328148,16.777935109466725,10.139738281249999,7.859657405548096,63.571205
2026-06-01T19:00:00Z,24.397821044921898,17.444473936148377,10.147103125,8.447296875686646,70.5073
2026-06-01T20:00:00Z,23.173638916015648,17.926470922033,10.1474953125,8.077230282821658,76.68258
2026-06-01T21:00:00Z,22.596368408203148,18.52532006143233,10.15971328125,6.670192335128785,81.60468
2026-06-01T22:00:00Z,22.466058349609398,18.43072640734425,10.163009375,4.42318671634674,81.37976
2026-06-01T23:00:00Z,22.173730468750023,18.388204190431612,10.1679453125,2.8968891100883485,81.83897
2026-06-02T00:00:00Z,21.956628417968773,18.650341663444973,10.17236796875,2.4419330574035643,84.150276
2026-06-02T00:00:00Z,20.323999023437523,18.175208315316212,10.1771203125,2.2280837496376042,87.66481
2026-06-02T01:00:00Z,20.925347900390648,17.685881692937716,10.174690625,2.573322065792084,84.217384
2026-06-02T02:00:00Z,20.636712646484398,17.435514610863375,10.17699453125,3.3858119304084773,84.41245
2026-06-02T03:00:00Z,20.450524902343716,17.197937123244415,10.17910859375,4.126479239463806,83.83458
2026-06-02T04:00:00Z,20.093438720703148,17.23911272340084,10.17696953125,2.1836085400581355,85.92814
2026-06-02T05:00:00Z,19.670007324218773,17.35873236245011,10.17291640625,3.259117414188385,89.037895
2026-06-02T06:00:00Z,19.538018798828148,17.462892956735775,10.16854609375,2.7753205557250973,90.480515
2026-06-02T07:00:00Z,19.599420166015648,17.40956604562959,10.17201171875,2.5928906760215757,90.27596
2026-06-02T08:00:00Z,19.663385009765648,17.314247043790576,10.17336953125,3.2983501048469543,89.12336
2026-06-02T09:00:00Z,19.523339843750023,17.328236855865462,10.1769734375,2.5826046889114385,89.72235
2026-06-02T10:00:00Z,19.870874023437523,17.328276196815228,10.1845203125,4.227090926399231,88.005844
2026-06-02T11:00:00Z,20.095086669921898,17.156457707163767,10.19113671875,4.326330808525086,86.15119
2026-06-02T12:00:00Z,20.627496337890648,15.737894784577,10.20167578125,2.7824511600494386,77.05087
2026-06-02T13:00:00Z,22.179406738281273,15.060986751499476,10.197684375,1.8007329515075685,68.65367
2026-06-02T14:00:00Z,22.940484619140648,15.767991591230556,10.1986578125,2.268396273136139,69.39451
2026-06-02T15:00:00Z,23.781518554687523,15.18136284609823,10.19167421875,4.041477857055664,64.56275
2026-06-02T16:00:00Z,23.816003417968773,15.808733994301978,10.1877,5.2441585984039305,67.383026
2026-06-02T17:00:00Z,23.716790771484398,15.332289316148758,10.1829265625,2.276676459159851,63.93644
2026-06-02T18:00:00Z,24.464959716796898,15.698506509853244,10.17675859375,4.289966394882202,62.960037
2026-06-02T19:00:00Z,22.621789550781273,16.303924522777237,10.18269296875,5.675851668548584,72.012985
2026-06-02T20:00:00Z,22.785791015625023,16.337524502302866,10.18176875,1.090845860452652,69.8703
2026-06-02T21:00:00Z,22.276971435546898,16.924547656995866,10.19027265625,4.38889530368805,74.277534
2026-06-02T22:00:00Z,21.434747314453148,17.906739240309776,10.1961421875,4.415409602661133,83.29913
2026-06-02T23:00:00Z,21.281304931640648,16.7660964018358,10.200970312499999,3.5810915891838073,77.85096
2026-06-03T00:00:00Z,21.073419189453148,16.378023462962886,10.205386718749999,0.7017954702615737,76.259636
2026-06-03T00:00:00Z,19.115563964843716,17.635373353653364,10.2113046875,1.368997360048294,91.32019
2026-06-03T01:00:00Z,19.135400390625023,17.516001800112132,10.20762421875,2.6891401626968388,93.59082
2026-06-03T02:00:00Z,19.132104492187523,17.482220997475494,10.20976796875,2.010591048793793,92.99159
2026-06-03T03:00:00Z,19.037408447265648,17.206243115308343,10.21251328125,1.9100741368865968,91.54223
2026-06-03T04:00:00Z,18.697991943359398,16.992859725703955,10.20887890625,2.202021775493622,92.45464
2026-06-03T05:00:00Z,18.413507080078148,16.650283935097395,10.2058484375,1.7787299670505523,92.14435
2026-06-03T06:00:00Z,18.184350585937523,16.541006729125034,10.20169296875,1.3089367562484742,92.82753
2026-06-03T07:00:00Z,18.129052734375023,16.47909392355318,10.20456796875,1.3363626565933229,92.48383
2026-06-03T08:00:00Z,17.867517089843716,16.387328601390028,10.20367734375,1.5429966649913789,93.67146
2026-06-03T09:00:00Z,17.712609863281273,16.107543699088925,10.204284375,1.5831714286994933,92.79855
2026-06-03T10:00:00Z,17.847680664062523,15.840138596160282,10.21013984375,0.9033132492017745,90.9779
2026-06-03T11:00:00Z,19.398248291015648,15.635936066942376,10.215453125,1.7112004421997071,83.04085
2026-06-03T12:00:00Z,21.121728515625023,15.73028195674981,10.22387421875,1.2864088015556336,76.34485
2026-06-03T13:00:00Z,22.670953369140648,15.567645299075227,10.21822421875,0.8785124317598343,69.701805
2026-06-03T14:00:00Z,24.036157226562523,15.092106339996482,10.21661796875,1.575693238697052,62.774082
2026-06-03T15:00:00Z,25.005334472656273,14.942684486600928,10.20851953125,3.3840128269386294,59.42343
2026-06-03T16:00:00Z,25.093316650390648,14.56490315818392,10.205139843749999,5.306997917976379,58.032887
2026-06-03T17:00:00Z,25.060357666015648,15.699446825596649,10.199090625,6.439649414138794,62.482666
2026-06-03T18:00:00Z,24.528527832031273,15.656581929280575,10.19471015625,4.63467081943512,63.4321
2026-06-03T19:00:00Z,24.441583251953148,15.098935607099564,10.19985546875,7.391151304512023,60.35443
2026-06-03T20:00:00Z,23.054589843750023,16.349664724510834,10.203759374999999,6.830291225357056,69.65713
2026-06-03T21:00:00Z,22.226434326171898,17.030754988619385,10.214059375,5.771217128982544,75.55423
2026-06-03T22:00:00Z,21.790429687500023,17.51259176726967,10.2190515625,4.323650227775574,79.45897
2026-06-03T23:00:00Z,21.393670654296898,17.98466696196466,10.22558359375,4.2415824684906,83.55623
2026-06-04T00:00:00Z,20.384881591796898,17.516751138579412,10.228159375,3.233454700126648,86.83182
2026-06-04T00:00:00Z,19.112695312500023,17.52438138466705,10.2333390625,2.3011026951026916,90.6843
2026-06-04T01:00:00Z,19.782678222656273,17.400722821728213,10.23100859375,1.1894987862300872,88.42164
2026-06-04T02:00:00Z,19.463647460937523,17.298836378168797,10.23101953125,2.319773143939972,89.43883
2026-06-04T03:00:00Z,19.008782958984398,16.901793255072825,10.232489062500001,2.4247199194526674,90.01242
2026-06-04T04:00:00Z,18.603387451171898,17.039919777129786,10.231121875,1.5712618688869477,93.37938
2026-06-04T05:00:00Z,18.216333007812523,17.277439257305385,10.22620703125,1.4005940568065642,97.301216
2026-06-04T06:00:00Z,17.577447509765648,17.148697538391914,10.222059375,1.3934220897865295,100
2026-06-04T07:00:00Z,17.534509277343716,17.059839676532953,10.22648828125,1.2331664384174348,100
2026-06-04T08:00:00Z,16.745629882812523,16.135049414051025,10.225851562499999,2.1452404108428955,100
2026-06-04T09:00:00Z,16.840539550781273,16.197960247395486,10.22801484375,3.064593406677246,100
2026-06-04T10:00:00Z,16.700280761718773,16.11186294763504,10.2361515625,0.42627481769800185,100
2026-06-04T11:00:00Z,17.998803710937523,16.073661489400983,10.240196874999999,1.355853523492813,93.871346
2026-06-04T12:00:00Z,19.566339111328148,15.919956700963253,10.248479687500001,1.6657896478366852,83.891464
2026-06-04T13:00:00Z,21.165307617187523,15.556432314529731,10.2420546875,2.0816688441085818,75.45772
2026-06-04T14:00:00Z,22.061853027343716,15.794342000974904,10.24276171875,4.9557992026138304,73.208595
2026-06-04T15:00:00Z,23.162988281250023,16.430238184683272,10.23341875,6.338980723152161,72.3107
2026-06-04T16:00:00Z,24.033593750000023,15.757726983474,10.227882812499999,8.35018607170105,65.86819
2026-06-04T17:00:00Z,24.016473388671898,15.754776546080686,10.22202265625,9.463201757736206,66.08862
2026-06-04T18:00:00Z,23.575402832031273,15.067128167948484,10.21677109375,9.688013686065673,63.94402
2026-06-04T19:00:00Z,23.036340332031273,15.28867134661437,10.22181640625,9.445103203201294,66.13335
2026-06-04T20:00:00Z,22.239678955078148,15.315922834167257,10.22346875,8.265108220443725,67.72581
2026-06-04T21:00:00Z,21.771936035156273,15.389547948102548,10.2283765625,6.166530491714478,69.003235
2026-06-04T22:00:00Z,21.363214111328148,15.964696739997017,10.22731796875,5.594112493591308,73.01317
2026-06-04T23:00:00Z,20.922753906250023,15.719914935653442,10.23010859375,4.1379268579101565,73.53923
2026-06-05T00:00:00Z,20.420495605468773,15.758092161369415,10.23269140625,2.5799185467910766,75.74765
2026-06-05T00:00:00Z,18.880303955078148,15.971168075162913,10.2377,3.0611798835945128,83.219124
2026-06-05T01:00:00Z,18.777490234375023,16.134663465283108,10.23879296875,3.326327507801056,87.37419
2026-06-05T02:00:00Z,18.560540771484398,16.410527153853554,10.231568750000001,1.9703563844871521,89.873
2026-06-05T03:00:00Z,18.060876464843716,16.765182885982565,10.2314796875,2.2405354272460936,95.043915
2026-06-05T04:00:00Z,17.862878417968773,16.604610067382694,10.22671328125,1.6340588988685607,95.151436
2026-06-05T05:00:00Z,17.551446533203148,16.22883546405913,10.22334921875,0.9154037852907181,94.64621
2026-06-05T06:00:00Z,17.926721191406273,16.037129072619987,10.217807031249999,1.5452255002212525,91.88259
