datetime,dew_point_temperature_htgl,geopotential_height_0deg,geopotential_height_ceil,geopotential_height_htfl,geopotential_height_sfc,high_level_cloud_cover,low_level_cloud_cover,mean_sea_level_pressure_eta_model,mid_level_cloud_cover,parcel_lifted_index_to_500_h_pa,precipitable_water,pressure,probability_of_precipitation,relative_humidity_htgl,relative_humidity_hybl,specific_humidity_htgl,specific_humidity_hybl,specific_humidity_spdy,surface_lifted_index,surface_roughness,temperature_htgl,temperature_sfc,temperature_sea_temperature,total_cloud_cover,total_column_integrated_cloud_water,water_temperature,u_component_of_wind_htgl,u_component_of_wind_spdy,v_component_of_wind_htgl,v_component_of_wind_spdy,wind_angle,wind_speed
2026-06-22T00:00:00Z,17.011878395665853,NA,NA,NA,4.089154243469238,0,0,0,0,NA,0,101834.921875,NA,90.36775156256166,89.86252031401017,0.012065496295690536,0.012147405184805393,0.012147405184805393,NA,NA,291.769287109375,297.1534118652344,292.14776611328125,0,0,0,0.03423512727022171,0.03423512727022171,-1.040632963180542,-1.040632963180542,358.1157418835902,1.0411959508167152
2026-06-22T01:00:00Z,17.205611720961087,NA,NA,NA,4.089154243469238,0,0,101888.078125,0,NA,25.37904930114746,101839.34375,NA,91.66958535572287,93.40571479789428,0.01221687812358141,0.012216824106872082,0.012216824106872082,NA,NA,291.73687744140625,291.9472351074219,292.14776611328125,0,0,0,0.27499938011169434,0.3289501965045929,-1.3757160902023315,-1.7498879432678223,348.6958277931602,1.4029324359723834
2026-06-22T02:00:00Z,17.26851475288612,NA,NA,NA,4.089154243469238,0,0,101806.125,0,NA,24.864011764526367,101757.421875,NA,93.00310586001925,94.2537963702905,0.012276642955839634,0.012276495806872845,0.012276495806872845,NA,NA,291.5699768066406,291.5980224609375,292.14776611328125,0,0,0,0.2785753905773163,0.33659711480140686,-0.36711758375167847,-0.5742335319519043,322.8081226917964,0.46084657808751817
2026-06-22T03:00:00Z,17.185164742613097,NA,NA,NA,4.089154243469238,0,0,101887.5546875,0,NA,25.194313049316406,101838.8125,NA,93.68753202716843,93.95696738275396,0.012200828641653061,0.012200674042105675,0.012200674042105675,NA,NA,291.3691101074219,291.29351806640625,292.14776611328125,0,0,0,0.09326233714818954,0.03158187121152878,0.3241511881351471,0.5108615159988403,196.0511865990781,0.3373008394590356
2026-06-22T04:00:00Z,17.048288813331034,NA,NA,NA,4.089154243469238,0,0,101864.828125,0,NA,25.430286407470703,101816.0859375,NA,94.34745918642162,94.18119210807852,0.012096199207007885,0.012096130289137363,0.012096130289137363,NA,NA,291.11956787109375,291.0284729003906,292.14776611328125,0,0,0,-0.02701028622686863,-0.1351107805967331,0.6031513810157776,0.8442806601524353,177.43589721895736,0.6037558645539578
2026-06-22T05:00:00Z,17.098391103832334,NA,NA,NA,4.089154243469238,0,0,101839.265625,0,NA,24.51767349243164,101790.5234375,NA,95.60707478939808,95.03459566911283,0.01213852223008871,0.012138772755861282,0.012138772755861282,NA,NA,290.9593811035156,290.8058776855469,292.14776611328125,0.017219172790646553,0,0,-0.628849446773529,-1.024000883102417,-0.7373379468917847,-1.2422847747802734,40.45968821969893,0.9690814592354793
2026-06-22T06:00:00Z,17.119672553411483,NA,NA,NA,4.089154243469238,0,0.07529661059379578,101838.4375,0,NA,24.13984489440918,101789.6328125,NA,97.6808104612947,99.77985958144056,0.012155327014625072,0.012154733762145042,0.012154733762145042,NA,NA,290.640625,291.0771179199219,292.14776611328125,0.5306808948516846,0.02453317541261032,0,-0.12342627346515656,-0.20543357729911804,-0.6639586091041565,-0.8334857821464539,10.530766908985186,0.6753333099922005
2026-06-22T07:00:00Z,16.413683996897888,NA,NA,NA,4.089154243469238,0,0.98580402135849,101858.25,0,NA,24.22100067138672,101809.375,NA,97.40735644841118,99.78516498961976,0.011610038578510284,0.011609543114900589,0.011609543114900589,NA,NA,289.9767761230469,291.0107116699219,292.14776611328125,0.98580402135849,0.04248371147665853,0,0.04072605073451996,-0.02575480192899704,-0.21848568320274353,-0.25547584891319275,349.44116076458033,0.22224897069053054
2026-06-22T08:00:00Z,16.45951644246657,NA,NA,NA,4.089154243469238,0,0.8838281631469727,101868.5859375,0,NA,24.43800926208496,101819.703125,NA,97.05275732336885,99.78916937408745,0.011643405072391033,0.01164369285106659,0.01164369285106659,NA,NA,290.0802307128906,290.9881591796875,292.14776611328125,0.9155265688896179,0.06348794887927713,0,0.13383688032627106,0.06810516119003296,-0.5363465547561646,-0.7154240012168884,345.9888705267017,0.5527928521012876
2026-06-22T09:00:00Z,16.567455825765677,NA,NA,NA,4.089154243469238,0,0.10427975654602051,101902.7578125,0,NA,24.52921485900879,101853.875,NA,97.9227142626794,99.78547359488068,0.011721169576048851,0.011720936745405197,0.011720936745405197,NA,NA,290.0478515625,290.4017028808594,292.14776611328125,0.10427975654602051,0.011419818623619524,0,-0.0818890631198883,-0.0878349244594574,-0.21103380620479584,-0.13836967945098877,21.208128241011764,0.226364939908848
